date;view_count;dominant_genre;is_menstruation;weekday;season
2020-11-10;5;Animation;False;Tuesday;Fall
2020-11-11;4;Animation;False;Wednesday;Fall
2020-11-13;4;Crime;False;Friday;Fall
2020-11-14;1;Drama;False;Saturday;Fall
2020-11-15;3;Drama;False;Sunday;Fall
2020-11-17;3;Drama;True;Tuesday;Fall
2020-11-18;3;Drama;True;Wednesday;Fall
2020-11-20;2;Drama;True;Friday;Fall
2020-11-21;5;Drama;True;Saturday;Fall
2020-11-22;2;Drama;False;Sunday;Fall
2020-11-23;1;Crime;False;Monday;Fall
2020-11-25;7;Comedy;False;Wednesday;Fall
2020-11-26;3;Comedy;False;Thursday;Fall
2020-11-27;1;Drama;False;Friday;Fall
2020-11-28;2;Drama;False;Saturday;Fall
2020-12-05;1;Drama;False;Saturday;Winter
2020-12-06;5;Drama;False;Sunday;Winter
2020-12-11;2;Drama;False;Friday;Winter
2020-12-20;1;Drama;False;Sunday;Winter
2020-12-27;1;Psychological;False;Sunday;Winter
2021-01-04;1;Drama;False;Monday;Winter
2021-01-09;1;Drama;False;Saturday;Winter
2021-01-17;1;Drama;True;Sunday;Winter
2021-01-20;2;Drama;False;Wednesday;Winter
2021-01-21;2;Drama;False;Thursday;Winter
2021-01-22;2;Drama;False;Friday;Winter
2021-01-23;1;Drama;False;Saturday;Winter
2021-01-24;6;Comedy;False;Sunday;Winter
2021-01-25;2;Drama;False;Monday;Winter
2021-01-26;2;Drama;False;Tuesday;Winter
2021-01-28;3;Comedy;False;Thursday;Winter
2021-01-29;1;Comedy;False;Friday;Winter
2021-01-30;2;Drama;False;Saturday;Winter
2021-01-31;4;Comedy;False;Sunday;Winter
2021-02-01;3;Drama;False;Monday;Winter
2021-02-03;1;Drama;False;Wednesday;Winter
2021-02-04;3;Drama;False;Thursday;Winter
2021-02-05;3;Drama;False;Friday;Winter
2021-02-06;2;Drama;False;Saturday;Winter
2021-02-07;6;Comedy;False;Sunday;Winter
2021-02-12;3;Drama;True;Friday;Winter
2021-02-13;3;Drama;True;Saturday;Winter
2021-02-14;3;Drama;True;Sunday;Winter
2021-02-15;3;Drama;False;Monday;Winter
2021-02-16;2;Drama;False;Tuesday;Winter
2021-02-17;1;Drama;False;Wednesday;Winter
2021-02-18;2;Drama;False;Thursday;Winter
2021-02-21;2;Drama;False;Sunday;Winter
2021-02-25;1;Drama;False;Thursday;Winter
2021-02-27;1;Drama;False;Saturday;Winter
2021-02-28;1;Drama;False;Sunday;Winter
2021-03-01;1;Drama;False;Monday;Spring
2021-03-02;2;Drama;False;Tuesday;Spring
2021-03-03;1;Drama;False;Wednesday;Spring
2021-03-04;3;Drama;False;Thursday;Spring
2021-03-07;1;Drama;True;Sunday;Spring
2021-03-08;2;Drama;True;Monday;Spring
2021-03-09;3;Drama;True;Tuesday;Spring
2021-03-10;1;Drama;True;Wednesday;Spring
2021-03-11;1;Drama;True;Thursday;Spring
2021-03-12;2;Drama;True;Friday;Spring
2021-03-13;3;Drama;False;Saturday;Spring
2021-03-15;1;Drama;False;Monday;Spring
2021-03-16;1;Drama;False;Tuesday;Spring
2021-03-18;2;Drama;False;Thursday;Spring
2021-03-20;3;Drama;False;Saturday;Spring
2021-03-22;1;Drama;False;Monday;Spring
2021-03-24;1;Drama;False;Wednesday;Spring
2021-03-25;1;Drama;False;Thursday;Spring
2021-03-29;1;Drama;False;Monday;Spring
2021-03-30;1;Drama;False;Tuesday;Spring
2021-04-03;1;Comedy;True;Saturday;Spring
2021-04-04;1;Drama;True;Sunday;Spring
2021-04-07;1;Drama;False;Wednesday;Spring
2021-04-12;3;Drama;False;Monday;Spring
2021-04-14;1;Drama;False;Wednesday;Spring
2021-04-15;1;Drama;False;Thursday;Spring
2021-04-17;1;Drama;False;Saturday;Spring
2021-04-26;1;Drama;True;Monday;Spring
2021-04-29;1;Reality;True;Thursday;Spring
2021-04-30;1;Drama;False;Friday;Spring
2021-05-01;1;Drama;False;Saturday;Spring
2021-05-05;1;Drama;False;Wednesday;Spring
2021-05-09;1;Drama;False;Sunday;Spring
2021-05-11;1;Drama;False;Tuesday;Spring
2021-05-17;1;Drama;False;Monday;Spring
2021-05-19;1;Drama;True;Wednesday;Spring
2021-05-21;1;Drama;True;Friday;Spring
2021-05-23;3;Drama;True;Sunday;Spring
2021-05-24;1;Drama;True;Monday;Spring
2021-05-25;1;Drama;False;Tuesday;Spring
2021-05-27;1;Drama;False;Thursday;Spring
2021-05-31;1;Drama;False;Monday;Spring
2021-06-03;2;Drama;False;Thursday;Summer
2021-06-04;1;Horror;False;Friday;Summer
2021-06-15;1;Drama;False;Tuesday;Summer
2021-06-18;1;Comedy;False;Friday;Summer
2021-06-19;1;Drama;False;Saturday;Summer
2021-06-23;1;Drama;False;Wednesday;Summer
2021-06-24;1;Drama;False;Thursday;Summer
2021-06-25;1;Drama;False;Friday;Summer
2021-06-26;2;Drama;False;Saturday;Summer
2021-06-30;6;Drama;False;Wednesday;Summer
2021-07-01;1;Drama;False;Thursday;Summer
2021-07-02;6;Comedy;False;Friday;Summer
2021-07-04;6;Drama;False;Sunday;Summer
2021-07-06;1;Comedy;False;Tuesday;Summer
2021-07-07;1;Comedy;False;Wednesday;Summer
2021-07-08;2;Comedy;False;Thursday;Summer
2021-07-09;2;Comedy;True;Friday;Summer
2021-07-11;6;Comedy;True;Sunday;Summer
2021-07-12;2;Drama;True;Monday;Summer
2021-07-13;9;Drama;True;Tuesday;Summer
2021-07-14;5;Drama;True;Wednesday;Summer
2021-07-15;4;Comedy;True;Thursday;Summer
2021-07-16;3;Comedy;False;Friday;Summer
2021-07-21;2;Comedy;False;Wednesday;Summer
2021-07-22;1;Drama;False;Thursday;Summer
2021-07-23;9;Drama;False;Friday;Summer
2021-07-24;1;Comedy;False;Saturday;Summer
2021-07-25;1;Comedy;False;Sunday;Summer
2021-07-26;1;Comedy;False;Monday;Summer
2021-07-27;2;Comedy;False;Tuesday;Summer
2021-07-29;1;Drama;False;Thursday;Summer
2021-07-30;5;Comedy;False;Friday;Summer
2021-07-31;3;Comedy;False;Saturday;Summer
2021-08-01;1;Comedy;False;Sunday;Summer
2021-08-02;2;Comedy;False;Monday;Summer
2021-08-03;1;Comedy;False;Tuesday;Summer
2021-08-06;1;Comedy;True;Friday;Summer
2021-08-08;3;Comedy;True;Sunday;Summer
2022-01-20;2;Comedy;False;Thursday;Winter
2022-01-21;1;Comedy;False;Friday;Winter
2022-01-23;1;Comedy;False;Sunday;Winter
2022-01-25;1;Animation;True;Tuesday;Winter
2022-01-26;1;Animation;True;Wednesday;Winter
2022-01-28;2;Animation;True;Friday;Winter
2022-02-03;3;Animation;False;Thursday;Winter
2022-02-04;2;Animation;False;Friday;Winter
2022-02-05;1;Drama;False;Saturday;Winter
2022-02-10;1;Drama;False;Thursday;Winter
2022-03-07;1;Drama;False;Monday;Spring
2022-03-10;1;Comedy;False;Thursday;Spring
2022-03-15;2;Drama;False;Tuesday;Spring
2022-03-16;1;Drama;False;Wednesday;Spring
2022-04-14;4;Drama;False;Thursday;Spring
2022-04-16;1;Drama;False;Saturday;Spring
2022-04-18;1;Drama;True;Monday;Spring
2022-06-15;3;Drama;True;Wednesday;Summer
2022-06-16;2;Drama;True;Thursday;Summer
2022-06-18;1;Drama;True;Saturday;Summer
2022-06-19;1;Drama;True;Sunday;Summer
2022-06-28;2;Drama;False;Tuesday;Summer
2022-06-29;8;Drama;False;Wednesday;Summer
2022-06-30;3;Drama;False;Thursday;Summer
2022-07-05;1;Psychological;False;Tuesday;Summer
2022-07-21;2;Crime;False;Thursday;Summer
2022-07-22;2;Crime;False;Friday;Summer
2022-07-24;1;Drama;False;Sunday;Summer
2022-07-27;1;Drama;False;Wednesday;Summer
2022-07-29;2;Drama;False;Friday;Summer
2022-07-30;1;Drama;False;Saturday;Summer
2022-07-31;1;Drama;False;Sunday;Summer
2022-08-06;1;Drama;True;Saturday;Summer
2022-08-08;1;Drama;True;Monday;Summer
2022-08-12;1;Drama;False;Friday;Summer
2022-08-15;1;Comedy;False;Monday;Summer
2022-08-18;2;Historical Drama;False;Thursday;Summer
2022-08-19;3;Historical Drama;False;Friday;Summer
2022-08-21;1;Historical Drama;False;Sunday;Summer
2022-08-23;4;Historical Drama;False;Tuesday;Summer
2022-08-24;9;Drama;False;Wednesday;Summer
2022-08-25;6;Drama;False;Thursday;Summer
2022-08-26;2;Drama;False;Friday;Summer
2022-08-27;1;Historical Drama;False;Saturday;Summer
2022-08-31;4;Historical Drama;True;Wednesday;Summer
2022-09-01;6;Historical Drama;True;Thursday;Fall
2022-09-02;3;Historical Drama;True;Friday;Fall
2022-09-04;1;Historical Drama;False;Sunday;Fall
2022-09-09;1;Drama;False;Friday;Fall
2022-09-10;7;Drama;False;Saturday;Fall
2022-09-11;2;Drama;False;Sunday;Fall
2022-09-13;2;Historical Drama;False;Tuesday;Fall
2022-09-14;1;Historical Drama;False;Wednesday;Fall
2022-09-15;5;Drama;False;Thursday;Fall
2022-10-02;1;Comedy;False;Sunday;Fall
2023-01-01;2;Drama;False;Sunday;Winter
2023-01-03;2;Drama;False;Tuesday;Winter
2023-01-05;1;Drama;False;Thursday;Winter
2023-01-10;1;Drama;True;Tuesday;Winter
2023-01-31;8;Drama;False;Tuesday;Winter
2023-02-01;1;Comedy;False;Wednesday;Winter
2023-02-04;6;Drama;False;Saturday;Winter
2023-02-05;2;Drama;True;Sunday;Winter
2023-02-08;4;Drama;True;Wednesday;Winter
2023-02-25;1;Drama;False;Saturday;Winter
2023-02-28;2;Crime;False;Tuesday;Winter
2023-03-03;1;Crime;True;Friday;Spring
2023-03-04;1;Crime;True;Saturday;Spring
2023-03-05;2;Crime;True;Sunday;Spring
2023-03-31;1;Drama;True;Friday;Spring
2023-04-12;5;Comedy;False;Wednesday;Spring
2023-04-13;3;Drama;False;Thursday;Spring
2023-04-18;2;Drama;False;Tuesday;Spring
2023-05-06;2;Drama;False;Saturday;Spring
2023-05-29;5;Drama;False;Monday;Spring
2023-05-30;1;Drama;False;Tuesday;Spring
2023-06-01;2;Drama;True;Thursday;Summer
2023-06-25;9;Drama;True;Sunday;Summer
2023-06-27;8;Drama;True;Tuesday;Summer
2023-06-28;4;Drama;True;Wednesday;Summer
2023-06-30;13;Drama;True;Friday;Summer
2023-07-01;1;Drama;True;Saturday;Summer
2023-07-02;2;Drama;False;Sunday;Summer
2023-07-06;1;Drama;False;Thursday;Summer
2023-07-08;1;Drama;False;Saturday;Summer
2023-07-12;1;Drama;False;Wednesday;Summer
2023-07-15;2;Drama;False;Saturday;Summer
2023-07-16;1;Drama;False;Sunday;Summer
2023-07-21;1;Drama;True;Friday;Summer
2023-07-26;1;Drama;True;Wednesday;Summer
2023-08-03;1;Drama;False;Thursday;Summer
2023-08-04;2;Drama;False;Friday;Summer
2023-08-08;2;Drama;False;Tuesday;Summer
2023-09-02;1;Drama;False;Saturday;Fall
